ACT Symbol,Company Name,Security Name,Exchange,CQS Symbol,ETF,Round Lot Size,Test Issue,NASDAQ Symbol
A,"Agilent Technologies, Inc. Common Stock","Agilent Technologies, Inc. Common Stock",N,A,N,100.0,N,A
AA,Alcoa Inc. Common Stock,Alcoa Inc. Common Stock,N,AA,N,100.0,N,AA
AA$,Alcoa Inc. $3.75 Preferred Stock,Alcoa Inc. $3.75 Preferred Stock,A,AAp,N,100.0,N,AA-
AA$B,Alcoa Inc. Depository Shares Representing 1/10th Preferred Convertilble Class B Series 1,Alcoa Inc. Depository Shares Representing 1/10th Preferred Convertilble Class B Series 1,N,AApB,N,100.0,N,AA-B
AAC,"AAC Holdings, Inc. Common Stock","AAC Holdings, Inc. Common Stock",N,AAC,N,100.0,N,AAC
AADR,WCM BNY Mellon Focused Growth ADR ETF,WCM BNY Mellon Focused Growth ADR ETF,P,AADR,Y,100.0,N,AADR
AAMC,Altisource Asset Management Corp Com,Altisource Asset Management Corp Com,A,AAMC,N,100.0,N,AAMC
AAN,"Aaron's, Inc. Common Stock","Aaron's, Inc. Common Stock",N,AAN,N,100.0,N,AAN
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N,AAP,N,100.0,N,AAP
AAT,"American Assets Trust, Inc. Common Stock","American Assets Trust, Inc. Common Stock",N,AAT,N,100.0,N,AAT
AAU,"Almaden Minerals, Ltd. Ordinary Shares (Canada)","Almaden Minerals, Ltd. Ordinary Shares (Canada)",A,AAU,N,100.0,N,AAU
AAV,Advantage Oil & Gas Ltd  Ordinary Shares,Advantage Oil & Gas Ltd  Ordinary Shares,N,AAV,N,100.0,N,AAV
AB,Allianceberstein Holding L.P.  Units,Allianceberstein Holding L.P.  Units,N,AB,N,100.0,N,AB
ABB,ABB Ltd Common Stock,ABB Ltd Common Stock,N,ABB,N,100.0,N,ABB
ABBV,AbbVie Inc. Common Stock,AbbVie Inc. Common Stock,N,ABBV,N,100.0,N,ABBV
ABC,AmerisourceBergen Corporation (Holding Co) Common Stock,AmerisourceBergen Corporation (Holding Co) Common Stock,N,ABC,N,100.0,N,ABC
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N,ABEV,N,100.0,N,ABEV
ABG,Asbury Automotive Group Inc Common Stock,Asbury Automotive Group Inc Common Stock,N,ABG,N,100.0,N,ABG
ABM,ABM Industries Incorporated Common Stock,ABM Industries Incorporated Common Stock,N,ABM,N,100.0,N,ABM
ABR,Arbor Realty Trust Common Stock,Arbor Realty Trust Common Stock,N,ABR,N,100.0,N,ABR
ABR$A,Arbor Realty Trust Preferred Series A,Arbor Realty Trust Preferred Series A,N,ABRpA,N,100.0,N,ABR-A
ABR$B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,N,ABRpB,N,100.0,N,ABR-B
ABR$C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,N,ABRpC,N,100.0,N,ABR-C
ABRN,Arbor Realty Trust 7.375% Senior Notes due 2021,Arbor Realty Trust 7.375% Senior Notes due 2021,N,ABRN,N,100.0,N,ABRN
ABT,Abbott Laboratories Common Stock,Abbott Laboratories Common Stock,N,ABT,N,100.0,N,ABT
ABX,Barrick Gold Corporation Common Stock,Barrick Gold Corporation Common Stock,N,ABX,N,100.0,N,ABX
ACC,American Campus Communities Inc Common Stock,American Campus Communities Inc Common Stock,N,ACC,N,100.0,N,ACC
ACCO,Acco Brands Corporation Common Stock,Acco Brands Corporation Common Stock,N,ACCO,N,100.0,N,ACCO
ACCU,Accuvest Global Opportunities ETF,Accuvest Global Opportunities ETF,P,ACCU,Y,100.0,N,ACCU
ACE,Ace Limited Common Stock,Ace Limited Common Stock,N,ACE,N,100.0,N,ACE
ACG,Alliancebernstein Income Fund,Alliancebernstein Income Fund,N,ACG,N,100.0,N,ACG
ACH,Aluminum Corporation of China Limited American Depositary Shares,Aluminum Corporation of China Limited American Depositary Shares,N,ACH,N,100.0,N,ACH
ACI,"Arch Coal, Inc. Common Stock","Arch Coal, Inc. Common Stock",N,ACI,N,100.0,N,ACI
ACIM,SPDR MSCI ACWI IMI ETF,SPDR MSCI ACWI IMI ETF,P,ACIM,Y,100.0,N,ACIM
ACM,AECOM Common Stock,AECOM Common Stock,N,ACM,N,100.0,N,ACM
ACMP,"Access Midstream Partners, L.P. Common Units Representing Limited Partner Interests","Access Midstream Partners, L.P. Common Units Representing Limited Partner Interests",N,ACMP,N,100.0,N,ACMP
ACN,Accenture plc. Class A Ordinary Shares (Ireland),Accenture plc. Class A Ordinary Shares (Ireland),N,ACN,N,100.0,N,ACN
